FILIAL;CODGI;DESCR;SIGLA;IDIOMA;NOIDIOMA;DINALAD;NALADI;ALADI;COMUM;MERCOSUL;SGPC;LI;PAIS_I;ABICS;CODRIEX;SISEXP;CODFIES;SGLMEX;NASCIO;CODERP;PAISDUE
;013;AFEGANISTAO;*; ; ; ;2; ; ; ; ; ; ; ; ;0132; ; ; ; ;
;756;AFRICA DO SUL;*; ; ; ;2; ; ; ; ; ; ; ; ;7560; ; ; ; ;
;017;ALBANIA, REPUBLICA DA;*; ; ; ;2; ; ; ; ; ; ; ; ;0175; ; ; ; ;
;023;ALEMANHA ;*; ; ; ;2; ; ; ; ; ;GERMANY; ; ;0230; ; ; ; ;
;037;ANDORRA;*; ; ; ;2; ; ; ; ; ; ; ; ;0370; ; ; ; ;
;040;ANGOLA ;*; ; ; ;2; ; ; ; ; ; ; ; ;0400; ; ; ; ;
;041;ANGUILLA ;*; ; ; ;2; ; ; ; ; ; ; ; ;0418; ; ; ; ;
;043;ANTIGUA E BARBUDA;*; ; ; ;2; ; ; ; ; ; ; ; ;0434; ; ; ; ;
;047;ANTILHAS HOLANDESAS;*; ; ; ;2; ; ; ; ; ; ; ; ;0477; ; ; ; ;
;053;ARABIA SAUDITA ;*; ; ; ;2; ; ; ; ; ; ; ; ;0531; ; ; ; ;
;059;ARGELIA;*; ; ; ;2; ; ; ; ; ; ; ; ;0590; ; ; ; ;
;063;ARGENTINA;*; ; ; ;1; ; ; ; ; ;.; ; ;0639; ; ; ; ;
;065;ARUBA;*; ; ; ;2; ; ; ; ; ; ; ; ;0655; ; ; ; ;
;069;AUSTRALIA;*; ; ; ;2; ; ; ; ; ; ; ; ;0698; ; ; ; ;
;072;AUSTRIA;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;077;BAHAMAS, ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;0779; ; ; ; ;
;081;BANGLADESH ;*; ; ; ;2; ; ; ; ; ; ; ; ;0817; ; ; ; ;
;083;BARBADOS ;*; ; ; ;2; ; ; ; ; ; ; ; ;0833; ; ; ; ;
;080;BAHREIN, ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;0809; ; ; ; ;
;088;BELIZE ;*; ; ; ;2; ; ; ; ; ; ; ; ;0884; ; ; ; ;
;229;BENIN;*; ; ; ;2; ; ; ; ; ; ; ; ;2291; ; ; ; ;
;090;BERMUDAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;0906; ; ; ; ;
;093;MIANMAR (BIRMANIA) ;*; ; ; ;2; ; ; ; ; ; ; ; ;0930; ; ; ; ;
;097;BOLIVIA;*; ; ; ;1; ; ; ; ; ;.; ; ;0973; ; ; ; ;
;101;BOTSUANA ;*; ; ; ;2; ; ; ; ; ; ; ; ;1015; ; ; ; ;
;105;BRASIL ;*; ; ; ;1; ; ; ; ; ;BRAZIL ; ; ;1058; ; ; ; ;
;108;BRUNEI ;*; ; ; ;2; ; ; ; ; ; ; ; ;1082; ; ; ; ;
;111;BULGARIA, REPUBLICA DA ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;310;BURKINA FASSO;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;115;BURUNDI;*; ; ; ;2; ; ; ; ; ; ; ; ;1155; ; ; ; ;
;119;BUTAO;*; ; ; ;2; ; ; ; ; ; ; ; ;1198; ; ; ; ;
;127;CABO VERDE, REPUBLICA DE ;*; ; ; ;2; ; ; ; ; ; ; ; ;1279; ; ; ; ;
;145;CAMAROES ;*; ; ; ;2; ; ; ; ; ; ; ; ;1457; ; ; ; ;
;141;CAMBOJA;*; ; ; ;2; ; ; ; ; ; ; ; ;1414; ; ; ; ;
;149;CANADA ;*; ; ; ;2; ; ; ; ; ; ; ; ;1490; ; ; ; ;
;154;CATAR;*; ; ; ;2; ; ; ; ; ; ; ; ;1546; ; ; ; ;
;137;CAYMAN, ILHAS;*; ; ; ;2; ; ; ; ; ; ; ; ;1376; ; ; ; ;
;788;CHADE;*; ; ; ;2; ; ; ; ; ; ; ; ;7889; ; ; ; ;
;158;CHILE;*; ; ; ;1; ; ; ; ; ;.; ; ;1589; ; ; ; ;
;160;CHINA, REPUBLICA POPULAR ;*; ; ; ;2; ; ; ; ; ; ; ; ;1600; ; ; ; ;
;163;CHIPRE ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;741;CINGAPURA;*; ; ; ;2; ; ; ; ; ; ; ; ;7412; ; ; ; ;
;165;COCOS(KEELING),ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;1651; ; ; ; ;
;169;COLOMBIA ;*; ; ; ;1; ; ; ; ; ;.; ; ;1694; ; ; ; ;
;173;COMORES, ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;1732; ; ; ; ;
;177;CONGO,REPUBLICA DO ;*; ; ; ;2; ; ; ; ; ; ; ; ;1775; ; ; ; ;
;183;COOK, ILHAS;*; ; ; ;2; ; ; ; ; ; ; ; ;1830; ; ; ; ;
;190;COREIA, REPUBLICA DA ;*; ; ; ;2; ; ; ; ; ; ; ; ;1902; ; ; ; ;
;187;COREIA, REP.POP.DEMOCRATI;*; ; ; ;2; ; ; ; ; ; ; ; ;1872; ; ; ; ;
;193;COSTA DO MARFIM;*; ; ; ;2; ; ; ; ; ; ; ; ;1937; ; ; ; ;
;196;COSTA RICA ;*; ; ; ;2; ; ; ; ; ; ; ; ;1961; ; ; ; ;
;198;COVEITE;*; ; ; ;2; ; ; ; ; ; ; ; ;1988; ; ; ; ;
;199;CUBA ;*; ; ; ;1; ; ; ; ; ;.; ; ;1996; ; ; ; ;
;232;DINAMARCA;*; ; ; ;2; ; ; ; ; ; ; ; ;2321; ; ; ; ;
;783;DJIBUTI;*; ; ; ;2; ; ; ; ; ; ; ; ;7838; ; ; ; ;
;235;DOMINICA,ILHA;*; ; ; ;2; ; ; ; ; ; ; ; ;2356; ; ; ; ;
;240;EGITO;*; ; ; ;2; ; ; ; ; ; ; ; ;2402; ; ; ; ;
;687;EL SALVADOR;*; ; ; ;2; ; ; ; ; ; ; ; ;6874; ; ; ; ;
;244;EMIRADOS ARABES UNIDOS ;*; ; ; ;2; ; ; ; ; ; ; ; ;2445; ; ; ; ;
;239;EQUADOR;*; ; ; ;1; ; ; ; ; ;.; ; ; ; ; ; ; ;
;245;ESPANHA;*; ; ; ;2; ; ; ; ; ; ; ; ;2453; ; ; ; ;
;249;ESTADOS UNIDOS ;*; ; ; ;2; ; ; ; ; ;UNITED STATES OF AMERICA ; ; ;2496; ; ; ; ;
;253;ETIOPIA;*; ; ; ;2; ; ; ; ; ; ; ; ;2534; ; ; ; ;
;255;FALKLAND (ILHAS MALVINAS);*; ; ; ;2; ; ; ; ; ; ; ; ;2550; ; ; ; ;
;259;FEROE, ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;2593; ; ; ; ;
;870;FIJI ;*; ; ; ;2; ; ; ; ; ; ; ; ;8702; ; ; ; ;
;267;FILIPINAS;*; ; ; ;2; ; ; ; ; ; ; ; ;2674; ; ; ; ;
;271;FINLANDIA;*; ; ; ;2; ; ; ; ; ; ; ; ;2712; ; ; ; ;
;161;FORMOSA (TAIWAN) ;*; ; ; ;2; ; ; ; ; ; ; ; ;1619; ; ; ; ;
;275;FRANCA ;FRA; ; ; ;2; ; ; ; ; ; ; ; ;2755; ; ; ; ;
;106;FRETADO P/ O BRASIL;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;281;GABAO;*; ; ; ;2; ; ; ; ; ; ; ; ;2810; ; ; ; ;
;285;GAMBIA ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;289;GANA ;*; ; ; ;2; ; ; ; ; ; ; ; ;2895; ; ; ; ;
;293;GIBRALTAR;*; ; ; ;2; ; ; ; ; ; ; ; ;2933; ; ; ; ;
;297;GRANADA;*; ; ; ;2; ; ; ; ; ; ; ; ;2976; ; ; ; ;
;301;GRECIA ;*; ; ; ;2; ; ; ; ; ; ; ; ;3018; ; ; ; ;
;305;GROENLANDIA;*; ; ; ;2; ; ; ; ; ; ; ; ;3050; ; ; ; ;
;309;GUADALUPE;*; ; ; ;2; ; ; ; ; ; ; ; ;3093; ; ; ; ;
;313;GUAM ;*; ; ; ;2; ; ; ; ; ; ; ; ;3131; ; ; ; ;
;317;GUATEMALA;*; ; ; ;2; ; ; ; ; ; ; ; ;3174; ; ; ; ;
;337;GUIANA ;*; ; ; ;2; ; ; ; ; ; ; ; ;3379; ; ; ; ;
;325;GUIANA FRANCESA;*; ; ; ;2; ; ; ; ; ; ; ; ;3255; ; ; ; ;
;329;GUINE;*; ; ; ;2; ; ; ; ; ; ; ; ;3298; ; ; ; ;
;334;GUINE-BISSAU ;*; ; ; ;2; ; ; ; ; ; ; ; ;3344; ; ; ; ;
;331;GUINE-EQUATORIAL ;*; ; ; ;2; ; ; ; ; ; ; ; ;3310; ; ; ; ;
;341;HAITI;*; ; ; ;2; ; ; ; ; ; ; ; ;3417; ; ; ; ;
;345;HONDURAS ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
